# source, target
0,85
1,85
1,103
2,3
2,132
3,4
3,5
4,48
5,6
6,157
7,8
7,9
7,109
7,85
7,119
8,9
9,21
9,86
10,18
10,11
10,13
11,16
11,18
12,13
12,30
14,17
14,15
15,18
16,17
18,19
18,67
19,107
20,21
20,77
22,28
22,29
22,23
23,29
24,26
24,27
24,119
25,97
26,97
28,52
30,84
30,131
31,34
31,84
32,33
32,35
33,34
33,36
33,39
34,84
35,116
36,37
37,83
38,83
38,39
40,43
41,44
41,46
42,43
42,87
44,45
45,46
46,47
46,137
47,48
49,157
49,135
50,57
50,51
50,124
50,125
51,149
52,53
53,58
53,83
53,54
54,55
56,57
56,59
57,128
57,123
58,59
60,153
60,155
61,155
61,150
62,78
62,79
63,64
63,79
64,65
65,126
66,114
66,91
67,106
68,76
68,77
69,77
69,70
70,71
72,73
72,74
72,76
73,74
75,92
75,111
76,92
77,135
77,151
77,152
78,120
78,127
79,99
80,81
80,86
81,103
82,104
82,105
82,109
86,133
87,143
88,89
88,94
89,115
90,98
90,91
91,97
91,117
92,93
93,94
94,95
95,110
96,120
96,126
97,98
99,121
100,101
100,118
101,108
102,105
102,103
103,133
104,107
106,107
106,108
106,109
110,113
110,111
112,113
112,115
114,117
116,117
116,118
118,119
121,144
122,129
122,124
123,129
124,131
125,130
127,128
127,129
128,129
130,131
132,133
133,138
134,136
134,137
134,141
135,136
138,139
139,140
140,141
142,157
142,143
144,145
145,146
146,147
148,149
150,152
150,154
150,151
153,154
155,156
156,157
