# source, target, count
0,1,1069
0,3,690
16,2,583
16,3,16
16,4,265
16,5,469
16,6,24
16,7,66
16,10,2
16,11,19
16,12,4
16,13,1
17,1,172
17,2,17
17,3,240
17,4,9
17,6,10
17,7,8
18,3,3
18,4,108
18,9,70
18,10,75
19,2,173
19,5,10
19,7,13
20,4,77
20,8,32
20,9,5
20,10,8
21,2,28
21,3,49
21,4,5
21,6,34
22,2,101
22,4,1
22,11,6
23,2,7
23,3,43
23,4,9
23,6,33
23,9,3
23,10,1
23,12,2
24,2,69
24,6,1
25,2,40
25,11,13
26,4,48
27,2,39
27,6,1
27,11,5
28,1,6
28,2,2
28,3,16
28,4,1
28,6,10
29,2,11
29,3,12
29,4,5
29,13,4
30,2,22
30,11,8
31,2,11
31,6,11
31,11,6
32,3,27
33,8,19
33,9,3
34,2,2
34,6,3
34,8,8
34,9,8
35,2,11
35,3,1
35,6,7
36,2,17
37,1,1
37,3,15
38,5,16
39,8,15
40,12,14
41,2,8
41,6,2
41,7,1
41,11,3
42,8,12
43,2,11
44,2,8
44,6,1
44,11,2
45,3,9
45,8,1
46,3,10
47,2,8
48,2,5
48,6,3
49,2,7
50,2,6
50,11,1
51,2,6
51,14,1
52,2,5
52,7,1
53,1,1
53,2,3
53,7,2
54,2,6
55,2,5
56,2,1
56,11,3
56,13,1
57,3,2
57,8,1
57,9,1
58,2,4
59,2,4
60,6,3
61,2,3
62,4,3
63,3,3
64,6,3
65,3,3
66,3,3
67,1,3
68,3,3
69,2,1
69,6,1
70,3,1
70,11,1
71,2,2
72,6,2
73,2,1
73,6,1
74,2,2
75,3,2
76,2,2
77,2,2
78,2,1
79,3,1
80,8,1
81,3,1
82,3,1
83,2,1
84,2,1
85,2,1
86,3,1
87,6,1
88,2,1
89,3,1
90,6,1
91,2,1
92,2,1
93,2,1
94,2,1
95,3,1
96,11,1
97,2,1
98,6,1
99,6,1
100,8,1
101,2,1
102,3,1
103,2,1
104,2,1
