# source, target
0,1
0,18
0,26
0,28
0,72
0,6
2,1
2,4
2,6
2,20
2,38
2,69
2,17
2,71
2,18
2,14
2,63
2,26
2,22
2,72
2,59
3,4
3,16
3,43
3,44
3,17
3,61
3,73
3,26
3,65
3,59
3,10
3,22
3,2
5,0
5,11
5,10
6,7
6,4
6,28
8,6
8,15
8,51
8,62
8,67
8,27
9,8
9,13
9,27
9,60
9,64
9,70
9,28
9,74
10,7
10,17
10,19
10,33
10,59
10,68
10,72
10,63
10,60
10,22
10,21
10,6
10,57
10,64
11,15
11,39
11,41
11,56
11,6
11,22
11,21
12,13
13,19
13,62
13,67
14,7
15,20
15,28
15,13
15,30
16,36
17,14
21,17
21,28
22,7
22,28
23,14
23,61
23,20
23,65
24,2
24,27
25,4
25,65
25,59
25,27
25,53
27,21
27,62
27,28
28,19
29,10
29,26
29,66
29,59
29,18
29,6
29,0
29,2
30,1
30,67
30,18
30,26
31,17
31,69
32,2
34,3
35,28
37,19
40,28
42,11
45,0
45,2
46,21
47,2
47,0
47,18
47,26
48,20
49,20
50,24
51,74
51,30
51,28
51,13
52,23
53,6
54,29
54,59
55,18
55,26
55,2
55,0
56,23
57,7
57,17
57,19
58,2
58,23
58,19
59,0
59,66
60,17
60,62
60,22
62,28
63,0
64,17
64,62
64,22
67,28
68,23
68,13
68,28
69,14
70,17
70,62
70,10
70,22
71,0
71,30
73,0
73,2
74,22
74,15
74,23
74,67
